"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Product Management","Product Display & Information","0","0","4","0","0"
"","Product Management","Cart & Wishlist","0","0","6","0","0"
"","Shopping & Checkout","Checkout Process","0","0","6","3","0"
"","Registration Functionality","User registration","0","0","2","0","0"
"","Interface & Navigation","","0","0","1","0","0"
"","Shopping & Checkout","Subscription Handling","0","0","2","0","0"
"","Interface & Navigation","Scroll Functionality","0","0","2","0","0"
"","Registration Functionality","User login","0","0","2","0","0"
"","Customer Support","","0","0","1","0","0"
"","Registration Functionality","User logout","0","0","1","0","0"
